id_juri;surname;name;patrynomic;gender;email;date_of_birth;country;phone_number;specialization;password;photo
1;Богданов;Артем;Федосеевич;мужской;nathanial10@hotmail.com;02.15.1978;22;7(375)426-67-59;Дизайн;a8CZYb;foto3.jpg
2;Щукин;Вольдемар;Тихонович;мужской;bartholome.bashirian@wolf.info;01.03.1971;45;7(319)819-17-33;Биг Дата;oZ0r3W;foto4.jpg
3;Селиверстов;Тимофей;Дамирович;мужской;hchristiansen@carter.com;06.23.1999;56;7(414)872-42-76;Информационная безопасность;IDAXGi;foto5.jpg
4;Дьячков;Олег;Донатович;мужской;ashley.goodwin@yahoo.com;11.08.1992;28;7(444)863-57-17;Дизайн;L8mi8y;foto6.jpg
5;Гущин;Авраам;Юрьевич;мужской;dax03@kunze.com;08.14.1961;94;7(307)587-98-66;ИТ;FC0vLE;foto7.jpg
6;Аксёнов;Юлиан;Васильевич;мужской;lionel93@hotmail.com;01.07.1988;81;7(091)683-03-84;Аналитика;EkPLPh;foto8.jpg
7;Сорокина;Милиса;Станиславовна;женский;jemard@hotmail.com;03.19.1989;93;7(468)294-93-90;Информационная безопасность;GpJzHy;foto9.jpg
8;Князева;Гражина;Иринеевна;женский;hal.mertz@hagenes.com;08.06.1964;28;7(375)057-71-87;ИТ;iY8LmA;foto10.jpg
9;Юдина;Нега;Аркадьевна;женский;luettgen.helmer@trantow.com;08.26.1966;91;7(774)153-99-54;Информационная безопасность;ZGbHuP;foto11.jpg
10;Зайцева;Альвина;Константиновна;женский;jonathan.lynch@gmail.com;04.08.1955;34;7(277)166-29-21;Информационная безопасность;usSI1r;foto12.jpg
