id_manager;surname;name;patrynomic;email;date_of_birth;country;phone_number;password;photo;gender
1;Михеев;Макар;Александрович;ur18npi597ce@outlook.com;12.05.1998;45;7(031)757-67-73;vd6R64Lk5A;foto1.jpg;мужской
2;Головина;Юлия;Вадимовна;jwc57bn4adu2@yahoo.com;27.04.1980;92;7(229)384-62-70;gSHz92vZ63;foto2.jpg;женский
3;Дмитриев;Кирилл;Филиппович;f742pkcmbxjy@tutanota.com;15.05.1988;11;7(417)150-67-19;UE3se539bV;foto3.jpg;мужской
4;Казаков;Степан;Михайлович;3hs6az492ed5@gmail.com;18.07.1985;66;7(954)329-84-27;373rJAE2br;foto4.jpg;мужской
5;Иванов;Дмитрий;Александрович;u01bjyqn5i6a@gmail.com;07.06.1990;31;7(669)872-02-08;R64nkrPP32;foto5.jpg;мужской
6;Савина;Есения;Данииловна;vlw1n0y83t95@yahoo.com;01.10.1993;8;7(590)109-06-46;HxAu6e6C48;foto6.jpg;женский
7;Макарова;Анфиса;Ярославовна;kaxme6jt5o2h@mail.com;18.05.1994;19;7(661)565-25-70;yGF26g2B8e;foto7.jpg;женский
8;Карпова;Ксения;Адамовна;sgevybk6t8r3@gmail.com;03.10.1990;95;7(010)198-68-90;4GZ5Jbp4u8;foto8.jpg;женский
9;Орлов;Глеб;Петрович;7w4jhoxf3mkr@yahoo.com;18.07.1992;53;7(190)548-51-43;9dH36n9PLu;foto9.jpg;мужской
10;Петров;Николай;Романович;u0f65782hjyc@mail.com;07.06.1981;58;7(319)913-62-67;75KaedZ4V9;foto10.jpg;мужской
