id_mod;surname;name;patrynomic;gender;email;date;country;phone_number;specialization;event;password;photo
1;Волкова;Кристина;Арсентьевна;женский;nfl1jpyazb9s@tutanota.com;02.06.1970;79;7(082)769-56-60;ИТ;IT в бизнесе;66jR7zYbG4;foto9.jpg
2;Жданова;София;Леонидовна;женский;o701yqm8kze3@yahoo.com;17.11.1969;3;7(025)266-15-36;ИТ;IT в бизнесе;TpU969Xbt9;foto10.jpg
3;Борисова;Кира;Павловна;женский;e8zrb4h0pxqk@tutanota.com;08.02.1962;49;7(175)632-21-50;Биг Дата;Разработка приложений;82P22yLnJv;foto8.jpg
4;Гришина;Полина;Романовна;женский;xgsoj1uiv2z0@gmail.com;06.10.1990;18;7(148)577-70-21;Дизайн;IT-инфраструктура;856Pd7vPkD;foto11.jpg
5;Кудрявцева;Мария;Давидовна;женский;bqd5sphnlko0@mail.com;31.12.1979;59;7(981)420-74-69;Биг Дата;Разработка приложений;5v5VpBL98y;foto12.jpg
6;Рожков;Иван;Родионович;мужской;49pgnlha30w7@yahoo.com;13.07.1999;89;7(024)173-09-35;Аналитика;Стартапы;S8aSZk32r8;foto13.jpg
7;Агафонов;Даниэль;Миронович;мужской;c95nxiop7s4e@mail.com;07.07.1973;80;7(018)600-99-93;ИТ;IT в бизнесе;2i7bE74DmX;foto14.jpg
8;Астафьева;София;Александровна;женский;6g7mbe3sauxz@mail.com;12.11.1963;7;7(131)005-02-92;Информационная безопасность;Информационная безопасность;c89ZxcB99V;foto16.jpg
9;Сычева;Евангелина;Артёмовна;женский;ol8uvx7h64kr@yahoo.com;18.08.1953;47;7(213)688-60-45;Биг Дата;Разработка приложений;45dRdTGv53;foto17.jpg
10;Кузнецов;Дмитрий;Романович;мужской;n2zfidj8eb6v@gmail.com;10.11.1971;54;7(059)830-06-15;Аналитика;Стартапы;4V8bh4B2Fp;foto18.jpg
11;Сорокин;Никита;Даниэльевич;мужской;ofkeh6x4bm21@gmail.com;03.10.1961;3;7(275)953-26-91;Аналитика;Стартапы;6gg95K7HMy;foto19.jpg
12;Антипов;Семён;Михайлович;мужской;t26fi9kav5w7@yahoo.com;06.01.1995;8;7(619)097-09-39;Информационная безопасность;Информационная безопасность;32KLr8jh2T;foto20.jpg
13;Кузьмин;Мирон;Эмильевич;мужской;14qdxpf06l5o@tutanota.com;23.12.1984;42;7(399)456-77-42;Дизайн;IT-инфраструктура;2m7ai46APK;foto21.jpg
14;Румянцев;Никита;Степанович;мужской;0ca6u2r1ez4g@tutanota.com;27.02.1989;7;7(386)189-70-89;Дизайн;IT-инфраструктура;HXk929D4bh;foto22.jpg
15;Павлов;Лев;Максимович;мужской;8cy5nf0p1otx@gmail.com;28.06.1961;87;7(187)701-13-10;Дизайн;IT-инфраструктура;kmaK7EK628;foto23.jpg
16;Ермолова;Есения;Максимовна;женский;su6m2175jy8f@tutanota.com;29.06.1981;53;7(754)825-64-21;Информационная безопасность;Информационная безопасность;5D6vD5Sku7;foto24.jpg
17;Юдин;Илья;Иванович;мужской;l879y3zxqnwr@gmail.com;09.02.1984;95;7(103)832-60-54;Информационная безопасность;Информационная безопасность;3hegK263EZ;foto25.jpg
18;Корнева;Аиша;Ярославовна;женский;zaefktdb2y36@outlook.com;07.03.1968;5;7(775)863-63-91;Биг Дата;Разработка приложений;N57gk87PhN;foto26.jpg
19;Андрианов;Сергей;Ярославович;мужской;chuygzrqspvl@gmail.com;15.12.1961;19;7(741)845-45-67;Аналитика;Стартапы;dKr5X9s5Y9;foto27.jpg
20;Иванова;Николь;Вячеславовна;женский;bd6tqr7jsm39@outlook.com;13.04.1953;39;7(491)551-21-60;Информационная безопасность;Информационная безопасность;8Y25Kpg6bJ;foto28.jpg
21;Панкратова;Валерия;Матвеевна;женский;aspoly76uqd3@outlook.com;21.04.1989;36;7(019)673-82-22;Биг Дата;Разработка приложений;g9GpXR2p82;foto29.jpg
